orbit,piece,x0,y0,x1,y1,x2,y2
EDGES,UF,4,2,4,3,,
EDGES,UR,5,1,7,3,,
EDGES,UB,4,0,10,3,,
EDGES,UL,3,1,1,3,,
EDGES,DF,4,6,4,5,,
EDGES,DR,5,7,7,5,,
EDGES,DB,4,8,10,5,,
EDGES,DL,3,7,1,5,,
EDGES,FR,5,4,6,4,,
EDGES,FL,3,4,2,4,,
EDGES,BR,9,4,8,4,,
EDGES,BL,11,4,0,4,,
CORNERS,UFR,5,2,5,3,6,3
CORNERS,URB,5,0,8,3,9,3
CORNERS,UBL,3,0,11,3,0,3
CORNERS,ULF,3,2,2,3,3,3
CORNERS,DRF,5,6,6,5,5,5
CORNERS,DFL,3,6,3,5,2,5
CORNERS,DLB,3,8,0,5,11,5
CORNERS,DBR,5,8,9,5,8,5
CENTERS,U,4,1,,,,
CENTERS,L,1,4,,,,
CENTERS,F,4,4,,,,
CENTERS,R,7,4,,,,
CENTERS,B,10,4,,,,
CENTERS,D,4,7,,,,
