orbit,piece,x0,y0,x1,y1,x2,y2
CORNERS,UFR,3,1,3,2,4,2
CORNERS,URB,3,0,5,2,6,2
CORNERS,UBL,2,0,7,2,0,2
CORNERS,ULF,2,1,1,2,2,2
CORNERS,DRF,3,4,4,3,3,3
CORNERS,DFL,2,4,2,3,1,3
CORNERS,DLB,2,5,0,3,7,3
CORNERS,DBR,3,5,6,3,5,3
